favorite_count,retweet_count,tweet_id
28004,8563,786963064373534720
19169,6542,786709082849828864
9908,3335,786595970293370880
8382,3069,786286427768250368
1505,165,786051337297522688
11966,3399,785927819176054784
8221,2382,785639753186217984
6412,1351,785515384317313025
12688,5208,785170936622350336
9415,2721,784517518371221505
21157,8651,784183165795655680
31551,11582,783839966405230592
10966,3457,783695101801398276
17723,5897,783391753726550016
30672,12557,783334639985389568
25329,7863,782969140009107456
18143,5794,782722598790725632
17497,5975,782305867769217024
11674,3596,781955203444699136
4197,1199,781655249211752448
7481,2725,781308096455073793
10269,2929,781163403222056960
7547,2142,780858289093574656
12699,3568,780601303617732608
0,3960,780496263422808064
5550,1147,780459368902959104
0,2456,780092040432480260
19876,7580,779834332596887552
0,19695,779124354206535695
15508,4840,779056095788752897
0,10645,778774459159379968
7221,1415,778748913645780993
4862,1078,778624900596654080
0,13062,778396591732486144
10892,3518,778286810187399168
6860,1725,778027034220126208
6660,1753,777885040357281792
0,4525,777641927919427584
14981,4616,777189768882946048
5108,1297,776813020089548800
0,9746,776249906839351296
10055,2694,776201521193218049
1919,161,776088319444877312
12264,2847,775842724423557120
13537,4885,775729183532220416
10632,4158,775350846108426240
8966,1893,774757898236878852
22801,5939,774314403806253056
6690,1845,773922284943896577
5567,1385,773670353721753600
0,5419,773336787167145985
9850,3441,773247561583001600
8959,4124,772877495989305348
0,3588,772615324260794368
6314,1481,772193107915964416
3932,786,772117678702071809
4192,992,772102971039580160
12541,3612,771770456517009408
10972,5419,771380798096281600
9569,3110,771136648247640064
7172,1751,771014301343748096
5160,1289,770787852854652928
7646,1858,770655142660169732
6507,1588,770293558247038976
7906,2434,770069151037685760
6673,1758,769695466921623552
5638,1825,769212283578875904
0,2853,768909767477751808
4296,1281,768609597686943744
0,6199,768554158521745409
11376,3773,768193404517830656
16729,5707,767754930266464257
12806,4028,767191397493538821
0,5987,766864461642756096
2719,408,766714921925144576
6285,1693,766423258543644672
0,2758,766078092750233600
3914,524,766008592277377025
5424,1291,765669560888528897
7388,2294,765371061932261376
6709,1880,764857477905154048
777,58,763956972077010945
5614,1563,763183847194451968
7674,2423,763103485927849985
11737,6845,762471784394268675
5000,1192,762316489655476224
5617,2141,761976711479193600
4438,908,761745352076779520
4291,1247,761599872357261312
5416,1539,761334018830917632
5525,1650,761227390836215808
3967,1028,760893934457552897
5159,1365,760641137271070720
4400,1478,760521673607086080
4106,917,760252756032651264
0,32,760153949710192640
15249,5987,759923798737051648
6203,2017,759793422261743616
4882,1242,759557299618865152
1734,514,759446261539934208
0,1231,759159934323924993
6759,2142,759047813560868866
11629,4058,758828659922702336
3964,1051,758474966123810816
5403,2041,758405701903519748
19918,10645,758099635764359168
7148,3442,757741869644341248
4709,1286,757725642876129280
0,310,757597904299253760
15745,7236,757400162377592832
4695,1508,757354760399941633
6897,2123,756939218950160384
10808,3816,756526248105566208
44508,18443,756288534030475264
7614,3062,755955933503782912
22051,11736,755110668769038337
7146,2673,754856583969079297
5513,2064,754482103782404096
8162,2474,754120377874386944
8234,3766,753420520834629632
7923,2456,753375668877008896
3508,1103,753294487569522689
4049,1033,753026973505581056
7163,1663,752917284578922496
6211,1693,752682090207055872
5732,2415,752568224206688256
3948,1167,752334515931054080
6169,1940,752173152931807232
5391,1423,751937170840121344
6071,3066,751793661361422336
4559,1166,751583847268179968
3315,1055,751456908746354688
6543,1934,751205363882532864
4956,1459,750868782890057730
4601,1199,750506206503038976
4722,1201,750383411068534784
3223,1014,750147208377409536
4488,1372,750117059602808832
2248,568,750086836815486976
3260,948,750056684286914561
2804,828,750026558547456000
3164,854,749996283729883136
4826,1383,749774190421639168
2717,569,749403093750648834
5675,2337,749317047558017024
4959,1598,749064354620928000
11115,3582,748977405889503236
2861,1000,748705597323898880
4388,1397,748692773788876800
2262,703,748568946752774144
7937,4333,748337862848962560
3788,744,748307329658011649
5972,2250,747963614829678593
3046,1036,747885874273214464
5002,1220,747816857231626240
13343,6138,747648653817413632
3809,1107,747594051852075008
3995,1080,747461612269887489
0,3022,747242308580548608
3491,962,747204161125646336
2991,310,746906459439529985
5472,1814,746818907684614144
9889,4113,746757706116112384
5200,1966,746542875601690625
4789,1139,746507379341139972
7133,2317,746131877086527488
4154,1120,745789745784041472
7318,2662,745433870967832576
7401,2912,745314880350101504
7470,2391,745057283344719872
8141,2830,744971049620602880
6991,2236,744334592493166593
1734,386,744223424764059648
3753,1003,743895849529389061
4624,1449,743609206067040256
3641,981,743545585370791937
4358,1276,743253157753532416
3966,1428,743210557239623680
4565,2081,742528092657332225
10127,3960,742423170473463808
4477,1446,742161199639494656
4685,1576,741793263812808706
3780,869,741438259667034112
10323,5814,741099773336379392
6573,2896,740995100998766593
2920,817,740699697422163968
35894,13913,740373189193256964
3394,892,740359016048689152
20577,6199,739979191639244800
3910,894,739844404073074688
5523,1733,739606147276148736
7380,3061,739485634323156992
112,6,738891149612572673
3411,842,738883359779196928
3337,877,738402415918125056
9047,3554,738166403467907072
5418,1838,737826014890496000
5178,1389,737678689543020544
3702,848,737322739594330112
4412,1813,736736130620620800
4101,1307,736365877722001409
8116,3113,736010884653420544
4126,1148,735648611367784448
13374,5297,735274964362878976
3212,1010,735137028879360001
12924,6574,734787690684657664
1530,415,734559631394082816
3767,1055,733822306246479872
4327,1339,733460102733135873
2510,557,732732193018155009
3779,815,732585889486888962
15328,5680,732005617171337216
3934,1324,731156023742988288
5041,2237,730573383004487680
3928,1095,730211855403241472
4155,1174,729854734790754305
4094,1294,729823566028484608
1933,339,729113531270991872
4801,1780,728760639972315136
3397,1081,728653952833728512
3774,998,728387165835677696
4678,1737,728035342121635841
3023,662,727685679342333952
4583,1273,727524757080539137
3120,846,727286334147182592
3740,1379,727155742655025152
3939,1577,726887082820554753
4526,1192,726224900189511680
4272,1419,725786712245440512
1445,643,725458796924002305
2436,668,724771698126512129
4437,1834,724049859469295616
4299,1634,724004602748780546
7891,3095,723688335806480385
5420,1944,723179728551723008
5097,1705,722613351520608256
2597,640,721001180231503872
2550,699,720775346191278080
6551,2611,720389942216527872
3983,1162,720059472081784833
4962,1814,719991154352222208
5187,2005,719551379208073216
4531,1298,719339463458033665
3581,1133,718971898235854848
19329,8376,718631497683582976
2536,1056,718540630683709445
4982,1565,718454725339934721
3976,1042,718234618122661888
2955,1167,717790033953034240
1653,469,717428917016076293
6436,1994,717047459982213120
4410,1228,716802964044845056
1266,447,716730379797970944
2433,219,716439118184652801
6913,1989,716080869887381504
3818,1493,715758151270801409
2882,591,715704790270025728
4438,1688,715680795826982913
3113,716,715342466308784130
5270,1963,715200624753819648
3852,1070,714982300363173890
4237,1472,714957620017307648
3730,960,714606013974974464
3108,743,714258258790387713
2334,912,714214115368108032
3376,805,713919462244790272
2919,766,713900603437621249
4540,1347,713411074226274305
4584,1518,713175907180089344
12688,5199,712717840512598017
5470,1622,712438159032893441
3895,1080,712097430750289920
